ï»¿idx,question,choice,ground_truth,qn_num
72,"A 4-year-old boy develops fever 3 weeks after being admitted to the hospital for induction chemotherapy for treatment of acute lymphoblastic leukemia. Chemotherapy medications are L-asparaginase, dexamethasone, doxorubicin, and vincristine. His temperature is 38.2Â°C (100.8Â°F), pulse is 122/min, and respirations are 24/min. Physical examination shows pallor, alopecia, and ulcerations over the gums. A central venous catheter with entry site in the right upper chest is present but has no surrounding erythema. A blood culture grows gram-negative rods after 36 hours. Which of the following underlying mechanisms is the most likely cause of this patient's susceptibility to infection?","A: Deficiency of terminal complement, B: Hypogammaglobulinemia, C: Impaired T-lymphocyte function, D: Inhibition of tumor necrosis factor ÃÂ± function, E: Neutropenia",E,72
74,A 6-year-old boy with acute lymphoblastic leukemia is brought to the office for a follow-up examination. He is receiving high-dose methotrexate therapy. A drug is added to the patient's medication regimen to decrease the toxicity of this therapy to normal cells. The beneficial effect of this new drug on normal cells is most likely achieved by bypassing the cellular requirement for which of the following enzymes?,"A: Dihydrofolate reductase, B: Methionine synthase, C: Pyruvate decarboxylase, D: Thiamine pyrophosphate, E: Thymidylate synthase",A,74
75,"A 4082-g (9-lb) male newborn is delivered in the hospital at 40 weeks' gestation to a 28-year-old primigravid woman. Pregnancy and delivery were uncomplicated. Apgar scores were 8 and 9 at 1 and 5 minutes, respectively. Examination of the newborn's tongue shows a small blind pit in the midline located near the intersection of the anterior two-thirds and the posterior one-third. Ultrasonography of the neck shows a mass attached to the hyoid bone. Cells in the mass produce a hormone that binds to which of the following?","A: G protein-linked receptors, B: Ligand-gated ion channels, C: Nuclear receptors, D: Receptor tyrosine kinases, E: ÃÆ Receptors",C,75
76,An investigator is studying how mice respond to filarial parasitic infections. Mice deficient in a specific protein found in eosinophils (Group X) are compared with wild-type mice (Group Y). Biopsies of lymph nodes from Group X mice show more adult worms than lymph nodes from Group Y mice. Group X mice most likely lack which of the following?,"A: Cathelicidin-related antimicrobial peptide, B: Lysozyme, C: Major basic protein, D: Myeloperoxidase, E: ÃÂ±-Defensin  ",C,76
77,A 14-year-old girl is brought to the office by her mother because of a 3-month history of red bumps on her skin. The patient says the bumps are not itchy or painful but that she finds them embarrassing. She has no history of major medical illness and takes no medications. Her vital signs are within normal limits. Physical examination shows the findings in the photograph. Which of the following is the most likely diagnosis?,"A: Eczema, B: Folliculitis, C: Hidradenitis, D: Keratosis pilaris, E: Urticaria",D,77
80,"A 65-year-old woman has congestive heart failure for which she is treated with an appropriate drug regimen including an ACE inhibitor. Because of insufficient improvement in her symptoms of dyspnea on exertion and edema, the physician prescribes a second agent that results in hyperkalemia. This adverse effect most likely resulted from a drug that targets which of the following labeled locations in the diagram of a nephron?","A: , B: , C: , D: , E: ",E,80
81,"A 60-year-old woman is nearing the completion of a half marathon. Because she experiences esophageal regurgitation, she does not drink any liquid during the race. This woman's physical state at the end of the race will most likely activate which of the following renal segments at this time?","A: Arginine vasoreceptor 2 in the proximal tubular cells, B: K+ - H+ exchange in the distal tubule, C: Proximal tubule carbonic anhydrase, D: Urea reabsorption in the medullary collecting ducts, E: Water reabsorption in the ascending loop of Henle",D,81
82,"An investigator is studying heart development in an experimental animal model. The animal model is genetically modified so that no cardiac neural crest cells develop. This animal model is most likely to have which of the following
cardiac abnormalities?","A: Atrial septal defect, B: Coarctation of the aorta, C: Mitral stenosis, D: Persistent truncus arteriosus, E: Transposition of the great arteries",D,82
83,"A 78-year-old woman undergoes an outpatient laparoscopic cholecystectomy. During the procedure, ligation of the cystic artery is planned. It is most appropriate to ligate this artery at its junction with which of the following arteries?","A: Gastroduodenal, B: Left gastric, C: Left hepatic, D: Right gastric, E: Right hepatic",E,83
84,"A 32-year-old man comes to the office because of a 2-week history of fever and throat pain. He is 173 cm (5 ft 8 in) tall and weighs 63 kg (140 lb); BMI is 21 kg/m2. His pulse is 110/min, respirations are 16/min, and blood pressure is 98/68 mm Hg. Physical examination shows scattered 2- to 4-cm lymph nodes in the neck, axillae, and inguinal regions. There is a bilateral tonsillar exudate but no ulcerations. Results of laboratory studies are shown:
Hemoglobin 9.6 g/dL Hematocrit 29% Leukocyte count 1500/mm3 Platelet count 60,000/mm3
A heterophile antibody test result is negative. Which of the following is the most likely diagnosis?","A: Epstein-Barr virus infection, B: Gonococcal pharyngitis, C: HIV infection, D: Lymphogranuloma venereum infection, E: Streptococcal pharyngitis",C,84
85,"A 65-year-old woman with a history of rheumatic mitral valve disease is brought to the emergency department 30 minutes after the sudden onset of right-sided weakness and inability to speak. Neurologic examination shows weakness of the right lower side of the face and difficulty swallowing. Muscle strength is 3/5 on the right side. She can understand what is said to her, but she cannot repeat words or answer questions. An ECG shows atrial fibrillation. The most likely cause of the neurologic findings in this patient is occlusion of which of the following labeled arteries in the photograph of a normal brain?","A: , B: , C: , D: , E: ",D,85
86,"A 51-year-old man with a 10-year history of gastroesophageal reflux and suspected Barrett esophagus comes to the office because his omeprazole dose ""doesn't work around the Christmas holidays."" He states that he prides himself on having a large appetite and ""holding his liquor"" during the holidays. He currently takes the maximum dose of omeprazole. Which of the following is the most appropriate initial action by the physician?","A: Ask the patient how much he is eating and drinking during the holidays, B: Explain the hazards of untreated reflux in the presence of Barrett esophagus, C: Order an upper endoscopy, D: Refer the patient to a gastroenterologist, E: Switch the omeprazole to pantoprazole",A,86
87,"A 60-year-old man comes to the office because of weakness, tingling of his hands and feet, irritability, and forgetfulness for 4 months. Physical examination shows pallor, weakness, and spasticity. Deep tendon reflexes are increased. Sensation to vibration is absent in the lower extremities. Laboratory studies show megaloblastic anemia, serum antiparietal cell antibodies, and increased serum concentrations of methylmalonic acid and total homocyst(e)ine. The synthesis of which of the following amino acids is most likely impaired in this patient?","A: Cysteine, B: Glutamine, C: Methionine, D: Phenylalanine, E: Tyrosine",C,87
89,A 68-year-old man with alcohol use disorder comes to the office because of a 3-month history of intermittent blood in his urine; he has had no pain. He is a retired laboratory technician from a company that produces naphthylamine. He has smoked 1 1/2 packs of cigarettes daily for 45 years. A CT scan of the abdomen shows a mass in the pelvis of the left kidney. A photograph of the surgically resected kidney is shown. The neoplastic process in this kidney is most likely to be which of the following?,"A: Angiomyolipoma, B: Metastatic melanoma, C: Nephroblastoma, D: Oncocytoma, E: Urothelial carcinoma",E,89
90,"A 12-year-old girl is brought to the office because of a 2-day history of chest pain. She also had a 3-day history of fever that has since resolved. When she lies down, the pain worsens and she has shortness of breath. Her temperature is 37Â°C (98.6Â°F). A friction rub is heard. Which of the following is the most likely causal infectious agent?","A: Coxsackievirus, B: Mumps virus, C: Staphylococcus aureus, D: Staphylococcus epidermidis, E: Viridans streptococcus",A,90
91,"A 32-year-old man comes to the office because of a 1-day history of cough productive of small amounts of blood and a 2-day history of shortness of breath and swelling of his ankles. He also has a 2-week history of progressive fatigue and episodes of dark urine. He has no history of major medical illness and takes no medications. His temperature is 37Â°C (98.6Â°F), pulse is 90/min, respirations are 18/min, and blood pressure is 175/110 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 91%. Diffuse inspiratory crackles are heard over all lung bases. There is 2+ pitting edema of both ankles. Results of laboratory studies are shown:
Hemoglobin 8.9 g/dL Hematocrit 27% Serum Urea nitrogen 55 mg/dL Creatinine 2.9 mg/dL Urine RBC 20-40/hpf
Urinalysis also shows some dysmorphic RBCs and rare RBC casts. Examination of a kidney biopsy specimen shows crescentic glomerulonephritis and linear deposition of IgG along the glomerular capillaries. This patient most likely has antibodies directed against which of the following antigens?","A: Collagen, B: Double -stranded DNA, C: Nucleolar protein, D: Phospholipid, E: Proteins in neutrophil cytoplasm",A,91
92,"A 58-year-old man with chronic obstructive pulmonary disease comes to the clinic with his wife for a follow-up examination. He has smoked one pack of cigarettes daily for 35 years. He has tried to quit smoking twice but was unsuccessful both times. At today's visit, when the physician asks the patient about smoking cessation, he says he is not ready to do so. The patient's wife states her husband's smoking makes her cough and gives her chest tightness. Which of the following is the most appropriate physician statement?","A: ""Are there any reasons why you might want to quit smoking?"", B: ""Are you aware that your lung condition is chronic at this point?"", C: ""I'm sure you don't want your wife to suffer as a result of your smoking."", D: ""The majority of your health issues would improve if you quit smoking."", E: ""Why haven't you been able to stay off cigarettes?""",A,92
94,"A 19-year-old man who is in the US Army is brought to the emergency department 45 minutes after he sustained a knife wound to the right side of his chest during an altercation. He has no history of major medical illness and takes no medications. His temperature is 36.9Â°C (98.4Â°F), pulse is 110/min, respirations are 24/min, and blood pressure is 114/76 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. On physical examination, the trachea appears to be shifted to the left. Pulmonary examination of the right chest is most likely to show which of the following findings? Fremitus
Percussion
Breath Sounds","A: Decreased  dull decreased, B: Decreased  hyperresonant  decreased, C: Decreased  hyperresonant  dull, D: Increased  dull bronchial, E: Increased  dull decreased",B,94
97,"A 27-year-old woman comes to the emergency department because of a 1-hour history of severe shortness of breath. She has just returned from a cross-country flight. She has a history of borderline hypertension. Her temperature is 36.9Â°C (98.5Â°F), pulse is 113/min, respirations are 28/min, and blood pressure is 138/85 mm Hg. Physical examination shows that the right calf has an increased circumference compared with the left calf, and there is tenderness behind the right knee. Which of the following is the most likely underlying cause of this patient's condition?","A: Antithrombin III deficiency, B: Factor V Leiden mutation, C: Glanzmann thrombasthenia, D: Protein C deficiency, E: von Willebrand disease",B,97
98,"A 17-year-old boy is brought to the clinic for a follow-up examination. He has been evaluated for three episodes of full-body weakness at the ages of 13, 16, and 17 years. Each episode occurred when he lay down after playing in a football scrimmage. The weakness improved spontaneously during the next 6 hours; he was asymptomatic by the time he was evaluated by medical personnel. The patient attributes the episodes to eating ""a lot of pasta and salty foods"" prior to playing football. Results of a complete blood count and comprehensive metabolic profile following each episode have been within the reference ranges. He has no history of serious illness and takes no medications. Vital signs are within normal limits. Physical and neurologic examinations disclose no abnormalities. Which of the following serum concentrations is most likely to be abnormal if measured during one of this patient's episodes?","A: Calcium, B: Chloride, C: Magnesium, D: Potassium, E: Sodium",D,98
99,A 20-year-old woman is brought to the urgent care center because of a 2-month history of progressive weakness of her arms. She also has a 1-week history of moderate back pain and headache. Her only medication is ibuprofen as needed for pain. Muscle strength is 3/5 in the upper extremities. Sensation to pinprick is decreased over the upper extremities. MRI of the spine shows a central syrinx in the cervical spinal cord. It is most appropriate to obtain specific additional history regarding which of the following in this patient?,"A: Diet, B: Family illness, C: Recent travel, D: Trauma, E: Unintended weight loss",D,99
100,"A 24-year-old man comes to the office because of a 3-day history of blisters on the right side of his mouth accompanied by burning pain and a tingling sensation. He underwent a liver transplant 8 years ago for hepatolenticular degeneration (Wilson disease). Current medications are prednisone and tacrolimus. His temperature is 38.0Â°C (100.4Â°F), pulse is 78/min, respirations are 14/min, and blood pressure is 120/80 mm Hg. Physical examination shows the findings in the photograph. Well-healed surgical scars are noted on the abdomen. A drug that inhibits which of the following processes is most appropriate for this patient?","A: DNA replication, B: Nucleotide phosphorylation, C: Protein synthesis, D: Viral budding, E: Viral uncoating",A,100
101,"A 15-year-old girl is brought to the rehabilitation facility for physical therapy. Two months ago, she was involved in a motor vehicle collision in which she sustained a crush injury to the ulnar nerve at the right elbow. Neurologic examination shows severe weakness and atrophy of the intrinsic muscles of the right hand. When the patient is asked to grasp the therapist's fingers, right handgrip is noticeably weaker than left handgrip. Sensation to pinprick and fine touch is decreased at the palmar aspect of the ring and small fingers of the right hand. No other deficits are noted. Which of the following cell types is critical for recovery of neurologic function in this patient?","A: Astrocytes, B: Oligodendrocytes, C: Satellite cells, D: Schwann cells, E: Tanycytes",D,101
102,"A 3-year-old boy is brought to the office because of a 2-day history of bulging of his left eye. He says his eye hurts. He has no history of major medical illness or recent trauma to the area, and he receives no medications. Vital signs are within normal limits. Physical examination shows exophthalmos of the left eye. MRI of the brain shows a 2-cm mass involving the ocular muscles of the left eye. A biopsy specimen of the mass shows malignant cells, some of which have striations. Which of the following is the most likely diagnosis?","A: Neuroblastoma, B: Pheochromocytoma, C: Retinoblastoma, D: Rhabdomyosarcoma, E: Thyroid cancer",D,102
103,"An 11-year-old girl is brought to the emergency department by her parents because of a 1-week history of breast enlargement. She has not had pain or nipple discharge. She has asthma treated with inhaled albuterol as needed. She does not smoke cigarettes, drink alcoholic beverages, or use illicit drugs. She is at the 50th percentile for height and weight. Vital signs are within normal limits. Examination of the breasts shows minimal enlargement under the areolae and mild enlargement of the diameter of the areolae without nipple discharge; no masses are palpated. There is scant pubic hair. Which of the following best describes the sexual maturity rating for this patient?","A: 1, B: 2, C: 3, D: 4, E: 5",B,103
104,"A 5-year-old boy is brought to the emergency department by his mother because of an episode of bloody stool 3 hours ago. The mother says the stool was hard ""like pebbles"" and she noted bright red blood on the tissue when the patient cleaned himself. His previous bowel movement was 5 days ago. The patient has no abdominal or rectal pain now, but he did have abdominal pain during his bowel movement 5 days ago. He has no history of major medical illness and receives no medications. Vaccinations are up-to-date. The patient has no recent history of travel. He is at the 5th percentile for height and the 10th percentile for weight; BMI is at the 50th percentile. Vital signs are within normal limits. Abdominal examination shows hypoactive bowel sounds and a soft, slightly distended abdomen that is not tender to palpation. Rectal examination shows 1 cm of bright red rectal mucosa protruding from the right side of the anus; there is no rectal bleeding. The remainder of the examination shows no abnormalities. Which of the following is the most likely cause of this patient's physical findings?","A: Constipation, B: Cystic fibrosis, C: Hirschsprung disease, D: Hookworm infestation, E: Intussusception",A,104
106,"An 80-year-old woman is brought to the emergency department (ED) 30 minutes after she fell out of her wheelchair at home. This is the second visit to the ED for a fall during the past 3 months. She lives with her daughter and son-in- law, who say they Ã¢â¬Ådo the best we can.Ã¢â¬Â The patient has dementia, Alzheimer type, coronary artery disease, type 2 diabetes mellitus, and hypertension. Current medications are amlodipine, aspirin, atorvastatin, donepezil, long-acting insulin, and lisinopril. Five years ago, she underwent bilateral below-the-knee amputations because of infected ulcers of the feet. She uses a wheelchair for ambulation. Ten years ago, she underwent three-vessel coronary artery bypass grafting. She has smoked one-half pack of cigarettes daily for 60 years. She drinks one shot of whiskey nightly. She is thin and appears ill and disheveled. Her temperature is 37.2Â°C (99.0Â°F), pulse is 80/min, respirations are 20/min, and blood pressure is 120/80 mm Hg. Pulse oximetry on 2 L/min of oxygen by nasal cannula shows an oxygen saturation of 95%. Physical examination shows temporal wasting. There are scattered ecchymoses over the abdomen and all extremities. No other abnormalities are noted. Which of the following is the most appropriate initial history to obtain from this patient?","A: Abnormal bleeding, B: Diet, C: Relationship with her  family, D: Respiratory symptoms, E: Urinary symptoms",C,106
107,"An investigator is studying the impact of glucocorticoids on leukocyte dynamics in an experimental animal model. After dexamethasone administration, the total number of circulating neutrophils increases. Most of the additional neutrophils in circulation are detached; these neutrophils were previously loosely adherent and rolling along the endothelium. The expression of which of the following cell adhesion molecules is most likely decreased in this animal model after dexamethasone administration?","A: Cadherin, B: Intercellular adhesion molecule -1, C: L-selectin, D: MAC -1, E: Very late antigen -4",C,107
108,"A 67-year-old man comes to the office because he is concerned about memory loss. He says he sometimes forgets the names of acquaintances he sees while he is out shopping. He also has occasional word-finding difficulty and forgets to buy some items when he goes shopping unless he makes a list. He lives alone and is able to manage his finances, cook, and shop without help. He works part-time as an accountant. He has gastroesophageal reflux disease and hypertension. Current medications are hydrochlorothiazide and omeprazole. Vital signs are within normal limits. Physical and neurologic examinations show no abnormalities. On mental status examination, he is fully oriented. His speech is normal, and thoughts are organized. His mood is euthymic, and he has a full range of affect. His concentration is intact, and he is able to perform calculations quickly and accurately. He can name objects accurately and follow written and verbal commands. He recalls three of four objects after 5 minutes. Which of the following is the most appropriate physician response to this patient's concern?","A: ""I am concerned a bout your memory loss. Let's discuss how to further evaluate your memory.""Â, B: ""There's no need to worry right now, but let's meet again in 6 months.""Â, C: ""Unfortunately, your memory loss will likely increase significantly during the next 5 years; let's discuss some ways to plan for the future.""Â, D: ""Your episodes of forgetfulness are likely just 'Senior Moments,' but we should obtain in -depth laboratory test results and an MRI to be certain.""Â, E: ""Your examination findings indicate that your memory loss is  likely consistent with the normal aging process.""Â",E,108
109,"A 30-year-old woman comes to the office because of a 4-day history of an increasingly severe, painful rash over her body and in her mouth. The rash began over her trunk area but spread within a day to her face and extremities. Two days before development of the rash, she had flu-like symptoms with muscle aches and fatigue as well as a nonproductive cough, sore throat, and runny nose. Ten days ago, she began treatment with trimethoprim- sulfamethoxazole for a urinary tract infection; she takes no other medications. Temperature is 39.0Â°C (102.2Â°F), pulse is 120/min, respirations are 25/min, and blood pressure is 165/105 mm Hg. Physical examination shows diffuse brownish red macular exanthema with bullous lesions. Epidermis at an uninvolved site can be removed with mild tangential pressure. Examination of a biopsy specimen of one of the lesions shows necrosis of keratinocytes throughout the epidermis. There is minimal lymphocytic infiltration within the superficial dermis. Which of the following is the most likely diagnosis?","A: Erythema multiforme, B: Linear IgA bullous dermatosis, C: Pemphigus vulgaris, D: Staphylococcal scalded skin syndrome, E: Toxic epidermal necrolysis",E,109
111,"A 25-year-old woman comes to the emergency department because of a 3-hour history of fever, severe headache, light-headedness, dizziness, shaking chills, and muscle aches. Five hours ago, she was diagnosed with Lyme disease and began doxycycline therapy. She has no other history of serious illness and takes no other medications. Menses occur at regular 28-day intervals. She is currently menstruating and using a tampon. She appears anxious. Temperature is 37.0Â°C (98.6Â°F), pulse is 120/min, respirations are 30/min, and blood pressure is 90/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Physical examination shows flushing and diaphoresis. Cardiopulmonary examination shows no other abnormalities. Which of the following is the most likely mechanism of this patient's current condition?","A: Exacerbation of infection by Borrelia burgdorferi, B: Infection -mediated sepsis, C: IgE-mediated allergic reaction to doxycycline, D: Release of bacterial products producing acute inflammation, E: Secretion of bacterial endotoxins",D,111
112,"A 2-week-old male newborn is brought to the office for a well-child examination. He was delivered following an uncomplicated, spontaneous vaginal delivery at 41 weeks' gestation. The mother has no history of serious illness and did not nightly receive prenatal care. Her only medication is a prenatal vitamin. She has consumed large amounts of vodka for 10 years. Which of the following examination findings is most likely to be present in this patient?","A: Hypospadias, B: Limb hypoplasia, C: Neck webbing, D: Short palpebral fissures, E: Spasticity",D,112
113,"A 52-year-old man is admitted to the hospital because of a 2-hour history of vomiting bright red blood. His pulse is 125/min, and blood pressure is 90/60 mm Hg. Physical examination shows jaundice and visible blood vessels surrounding the umbilicus. CT scans of the abdomen are shown. To decrease portal venous pressure in this patient, it is most appropriate to place a shunt between the portal vein and which of the following additional vessels?","A: Inferior mesenteric vein, B: Inferior vena cava, C: Left gastric vein, D: Splenic vein, E: Superior mesenteric vein",B,113
114,"A 57-year-old man with chronic low back pain comes to the office for a routine health maintenance examination. The patient's last visit to the office was 2 years ago, and today he says he is ""doing about the same,"" except for an unintentional 10-kg (22-lb) weight gain. He attributes the weight gain to inability to exercise because of his back pain, and he is now considering applying for disability benefits. He was evaluated by a back pain specialist 3 months ago and underwent an MRI of the lumbar spine at that time; however, he says he did not understand the specialist's explanation regarding the MRI results and requests further explanation. Medical history also is remarkable for hyperlipidemia, seasonal allergies, and opioid use disorder; he has not used opioids of any kind since he stopped prescription oxycodone use 5 years ago. Routine medications are atorvastatin, diclofenac, and loratadine. He develops skin flushing when taking niacin, but he has no known drug allergies. He has smoked two packs of cigarettes daily for 25 years. He previously drank two beers daily, but he has not consumed any alcoholic beverages or used any recreational drugs for the past 5 years. He is 178 cm (5 ft 10 in) tall and weighs 104 kg (230 lb); BMI is 33 kg/m2. Vital signs are within normal limits; blood pressure is 128/70 mm Hg. While standing, the patient leans forward slightly. Range of motion on lumbar extension and flexion is decreased. The remainder of the examination discloses no abnormalities. Results of fasting serum studies are shown:
Na+ 140 mEq/L K+ 4.7 mEq/L ClÃ¢Ëâ 100 mEq/L HCO3Ã¢Ëâ 24 mEq/L Urea nitrogen 15 mg/dL Creatinine 0.7 mg/dL
Cholesterol Total 230 mg/dL HDL 60 mg/dL LDL 154 mg/dL
Triglycerides 80 mg/dL
MRI of the lumbar spine is shown. Which of the following factors in this patient's history most strongly contributed to the MRI findings?","A: Alcohol consumption, B: Cigarette smoking, C: Diclofenac use, D: Loratadine use, E: Opioid use",B,114
116,"A 14-year-old boy is brought to the emergency department by his parents because of a 1-month history of intermittent right knee pain that has worsened during the past day. He rates his current pain as a 6 on a 10-point scale and says that it worsens when he walks and lessens when he sits. During the past 2 weeks, he has been walking 1 mile daily in preparation for participation in the school marching band. He has not taken any medications for his pain. He sustained a right tibia and fibula fracture at the age of 8 years after a skateboarding accident, which was treated with internal fixation and casting. He has asthma treated with inhaled budesonide daily and inhaled albuterol as needed. His mother has type 2 diabetes mellitus, and his maternal grandmother has osteoporosis. The patient is 170 cm (5 ft 7 in; 77th percentile) tall and weighs 88 kg (195 lb; >95th percentile); BMI is 31 kg/m2 (98th percentile). Temperature is 37.0Â°C (98.6Â°F), pulse is 95/min, and blood pressure is 130/80 mm Hg. Physical examination shows hyperpigmented, thickened skin at the nape of the neck. There is tenderness to palpation of the anterior aspect of the right hip and limited range of motion on abduction, internal rotation, and flexion of the right hip. The left hip and knees are nontender; range of motion is full in all directions. The remainder of the examination discloses no abnormalities. Which of the following factors in this patient's history most increased his risk for developing this condition?","A: BMI, B: Family history, C: Medication use, D: Previous  fractures, E: Recent physical activity",A,116
118,"A 36-year-old woman with hypertension comes to the office because she thinks she may be Ã¢â¬Ågoing through early menopause.Ã¢â¬Â She has not had a menstrual period since her most recent office visit 6 months ago. During this time, she also has been ""gaining weight around the middle""Â despite increased exercise; she has had a 6.3-kg (14-lb) weight gain. She has no other history of major medical illness. Her only medication is lisinopril. She does not smoke, drink alcohol, or use illicit drugs. She is 168 cm (5 ft 6 in) tall and weighs 107 kg (236 lb); BMI is 38 kg/m2. Vital signs are within normal limits. Examination shows a uterus consistent in size with a 24-week gestation. Pelvic ultrasonography shows oligohydramnios and a fetus with a misshapen cranium, pericardial effusion, small bladder, and echogenic bowel. The most likely cause of the fetal abnormalities in this patient's pregnancy is interference with which of the following?","A: Fetal lung/epithelial differentiation, B: Fetal lung/surfactant development, C: Fetal renal hemodynamics, D: Maternal placental perfusion, E: Maternal prostaglandin synthesis",C,118
119,"A 25-year-old woman, gravida 1, para 1, comes to the office because of a 2-week history of palpitations and heat intolerance. She delivered her child 3 months ago following an uncomplicated pregnancy and delivery. She is breast- feeding. She has no history of serious illness and takes no medications. She is 163 cm (5 ft 4 in) tall and weighs 54 kg (120 lb); BMI is 21 kg/m2. Temperature is 37Â°C (98.6Â°F), pulse is 106/min, respirations are 20/min, and blood pressure is 124/68 mm Hg. Examination shows moist palms and bilateral lid lag. No exophthalmos is noted. The thyroid gland is enlarged and nontender. No murmurs are heard on cardiac examination. Deep tendon reflexes are 3+. Serum studies show an undetectable TSH concentration, thyroxine (T4) concentration of 20 Î¼g/dL, and triiodothyronine (T3) concentration of 275 ng/dL. Which of the following is the most likely mechanism of this patient's symptoms?","A: Activation of mutations of TSH receptors, B: Increased serum thyroglobulin concentration, C: Ischemic injury to the hypothalamus, D: Lymphocytic infiltration of the thyroid, E: Presence of TSH receptor autoantibodies",D,119
