idx,question,choice,ground_truth,qn_num
19,"Question
In patients with opioid use disorder, what is the relative efficacy of buprenorphine and methadone maintenance therapy?
Review scope
Included studies compared buprenorphine maintenance therapy (BMT), >1 mg/day, with methadone maintenance therapy (MMT), >-=20 mg/day, or placebo (including 1 mg/day of buprenorphine) in patients who were dependent on heroin or other opioids. Studies of pregnant women and those assessing buprenorphine or methadone for detoxification but with no maintenance phase were excluded. Outcomes included treatment retention and urinalysis-confirmed use of morphine, cocaine, and benzodiazepines.
Review methods
MEDLINE and EMBASE/Excerpta Medica (2003 to Jan 2013), Cochrane Central and Cochrane Library (2013, Issue 1), PsycLIT, Current Contents, several other databases, ClinicalTrials.gov and other electronic sources of ongoing trials, conference proceedings, Library of Congress databases, national focal points for drug research, and reference lists were searched for randomized controlled trials (RCTs). Authors were consulted. 31 RCTs (n=5430), ranging in size from 40 to 736 patients, met the selection criteria. Duration of study interventions ranged from 2 weeks to 52 weeks. 20 trials compared BMT with MMT, and 11 compared BMT with placebo.
Main results
As shown in the table below, low-, medium-, and high-dose BMT increased treatment retention more than placebo; BMT did not differ from equivalent doses of MMT for retention or had lower retention.
High-dose (standard mean difference -1.17, 95% CI -1.85 to -0.49), but not medium- or low-dose, BMT decreased morphine use more than placebo. Medium- and flexible-dose BMT and MMT did not differ for morphine use or cocaine use. BMT vs MMT and high-dose BMT vs placebo did not differ for benzodiazepine use.

Buprenorphine maintenance therapy (BMT) vs methadone maintenance therapy (MMT) or placebo for treatment retention in patients with opioid use disorder 

Comparisons*
High-dose BMT vs placebo  
Number of Trials (n): 5 (1001)
Weighted Retention Rates: 72% vs 40%
RBI (95% CI): 82% (15 to 190)
NNT (95% CI): 4 (3 to 7)

Medium-dose BMT vs placebo
Number of Trials (n): 4 (887)
Weighted Retention Rates: 66% vs 38%
RBI (95% CI): 74% (6 to 187)
NNT (95% CI): 4 (2 to 34)

Low-dose BMT vs placebo
Number of Trials (n): 5 (1131)
Weighted Retention Rates: 60% vs 40%
RBI (95% CI): 50% (19 to 88)
NNT (95% CI): 5 (4 to 10)

High-dose BMT vs high-dose MMT 
Number of Trials (n): 1 (134)
Weighted Retention Rates: 5.2% vs 6.6%
RBR (95% CI): 21% (-216 to 20)
NNH (95% CI): Not significant

Medium-dose BMT vs medium-dose MMT 
Number of Trials (n): 7 (780)
Weighted Retention Rates: 43% vs 48%
RBR (95% CI): 13% (-10 to 31)
NNH (95% CI): Not significant

Flexible-dose BMT vs flexible-dose MMT 
Number of Trials (n): 11 (1391)
Weighted Retention Rates: 50% vs 63% 
RBR (95% CI): 17% (5 to 27)
NNH (95% CI): 8 (5 to 25)

Low-dose BMT vs low-dose MMT
Number of Trials (n): 3 (253)
Weighted Retention Rates: 38% vs 56%
RBR (95% CI): 33% (13 to 48)
NNH (95% CI): 6 (4 to 17)

CI = confidence interval; NNH = number needed to harm; NNT = number needed to treat; RBI = relative benefit increase; RBR = relative benefit reduction.
*Flexible dose = dose is titrated within a broad dose range according to patient preference; low-dose BMT = 2 to 6 mg; medium-dose BMT = 7 to 15 mg; high-dose BMT = 16 mg; medium-dose MMT = 40 to 85 mg.

Conclusions
In patients with opioid use disorder, buprenorphine is more efficacious than placebo, but less efficacious than methadone therapy, for treatment retention.
Source of funding: Australian Government Department of Health.
Structured abstract based on: Mattick RP, Breen, C, Kimber J, Davoli M. Buprenorphine maintenance versus placebo or methadone maintenance for opioid dependence. Cochrane Database Syst Rev. 2014;(2):CD002207. 24500948

Which of the following is most likely to bias the results of this study?","A: Earlier diagnosis of relapse in patients receiving methadone maintenance therapy, B: Exclusion criteria of studies used for the review
C: Likelihood that more trials with positive results will be published
D: Source of funding
E: Variety of sample sizes of the included trials",C,2_19
20,"A 57-year-old man is brought to the emergency department by ambulance 30 minutes after he had loss of consciousness. His wife says he was making dinner when he fell on the kitchen floor. He has hypertension and his only medication is lisinopril. He has no history of operative procedures. En route, his temperature was 37.2C (99.0F), pulse was 90/min, respirations were 10/min and labored, and blood pressure was 180/100 mm Hg. Pulse oximetry on 40% oxygen by face mask showed an oxygen saturation of 99%. On arrival, he is unresponsive. His Glasgow Coma Scale score is 3. He is intubated and mechanically ventilated. Temperature is 37.2C (99.0F), pulse is 90/min, ventilatory rate is 10/min, and blood pressure is 180/100 mm Hg. Pulse oximetry on an FIO2 of 0.4 shows an oxygen saturation of 98%. On examination, Doll's eye (oculocephalic) maneuver shows absent eye movements, and the corneal reflex is absent. On ice-water caloric testing, there is no nystagmus or deviation of the eyes toward the ear being irrigated. CT scan of the head shows a ruptured cerebral aneurysm. When the patient's wife is notified of the patient's condition, she says he wanted to be an organ donor but does not have an advance directive. Which of the following is the most appropriate next step in management? ","A: Consult with the hospital ethics committee, B: Contact the organ bank for potential donation, C: Determine if there are any patients awaiting organ donation in the hospital, D: Explain that the patient is not a candidate for organ donation because he does not have an advance directive, E: Explain that the patient is not a candidate for organ donation because of his history of hypertension ",B,2_20
21,"A 36-year-old woman, gravida 2, para 1, at 39 weeks' gestation is admitted to the hospital in labor. She reports painful contractions that occur every 2 to 3 minutes and last 60 seconds. She has not had vaginal bleeding. She has no history of serious illness, and pregnancy has been uncomplicated. Temperature is 37.0C (98.6F), pulse is 84/min and regular, and blood pressure is 100/70 mm Hg. The abdomen is nontender and consistent in size with a 39-week gestation. External fetal monitoring shows a heart rate of 150/min with moderate variability, several spontaneous accelerations, and no decelerations. An external tocometer shows regular uterine contractions every 2 to 3 minutes. The cervix is 6 cm dilated and 100% effaced; the vertex is at 0 station. Ultrasonography shows the fetus in a cephalic presentation. The membranes are artificially ruptured, yielding copious clear fluid. Thirty minutes later, the cervix is 9 cm dilated and 100% effaced; the vertex is at +1 station. A fetal heart tracing is shown. Which of the following is the most appropriate next step in management? ","A: Advising the patient to begin pushing, B: Amnioinfusion, C: Expectant management, D: Forceps-assisted vaginal delivery, E: Immediate cesarean delivery ",C,2_21
22,"A 27-year-old woman comes to the office because of a 3-week history of nasal congestion, cough productive of sputum, intermittent moderate headache, and intermittent moderate pain over her cheeks. She has had similar symptoms three to four times yearly during the past 5 years. The symptoms last 2 to 8 weeks and generally resolve spontaneously. She has had two episodes of bacterial pneumonia during the past 5 years; both episodes resolved with antibiotic therapy. Her only current medication is acetaminophen as needed for headache. Vital signs are within normal limits. Examination shows no abnormalities. Serum study results show decreased IgA, IgG, and IgM concentrations. Antibiotic therapy is begun, and the patientÕs condition improves. Which of the following is most likely to decrease the likelihood of recurrent infection in this patient? ","A: Daily inhaled tobramycin therapy, B: Daily intranasal glucocorticoid therapy, C: Daily trimethoprim-sulfamethoxazole therapy, D: Intranasal influenza virus vaccine administration, E: Monthly immune globulin replacement therapy ",E,2_22
24,A 10-year-old boy is brought to the office because of moderate right knee pain. He is in no distress. Medical history is remarkable for hemophilia A. Examination of the right knee shows warmth and swelling; there is pain with flexion. Range of motion is limited by pain and swelling. Which of the following is the most appropriate therapy for this patient? ,"A: ADH (vasopressin), B: Factor VIII concentrate, C: Factor IX concentrate, D: Ferrous sulfate, E: Fresh frozen plasma ",B,2_24
25,"A 72-year-old man comes to the clinic because of a 3-week history of visual changes in his right eye. During this period, he has noticed that the lines of his daily crossword puzzle look curved, and the blinds in his apartment appear wavy. He wears magnifying lenses for reading. He has not had pain in his eye or photophobia. He has no history of trauma to the area. On examination, visual acuity is 20/200 in the right eye and 20/100 in the left eye. Both pupils are round and reactive to light. Palpation of both globes through closed eyelids shows no abnormalities. There is normal red reflex bilaterally. The lenses appear clear. Which of the following is the most likely diagnosis? ","A: Cataracts, B: Central retinal artery occlusion, C: Closed-angle glaucoma, D: Macular degeneration, E: Temporal arteritis ",D,2_25
27,"A 37-year-old man comes to the clinic for a health maintenance examination prior to employment. He feels well. He has no history of serious illness and takes no medications. One year ago, his blood pressure was 136/85 mm Hg. He is 173 cm (5 ft 8 in) tall and weighs 100 kg (220 lb); BMI is 33 kg/m2. Today, his blood pressure is 138/87 mm Hg. Examination shows no abnormalities. In addition to recommending weight loss, which of the following is the most appropriate next step to prevent cardiovascular morbidity in this patient? ","A: ACE inhibitor therapy, B: Calcium supplementation, C: DASH diet, D: Fish oil supplementation, E: Thiazide diuretic therapy ",C,2_27
28,"A 39-year-old man comes to the office because of a 6-week history of mild fatigue and increased thirst and urination. During this time, he also has had a 6.8-kg (15-lb) weight loss despite no change in appetite. He is otherwise asymptomatic. He has no history of serious illness and takes no medications. He is 180 cm (5 ft 11 in) tall and weighs 61 kg (135 lb); BMI is 19 kg/m2. Temperature is 37.0°C (98.6°F), pulse is 80/min, respirations are 18/min, and blood pressure is 118/70 mm Hg. Examination shows no
abnormalities. Results of laboratory studies are shown:
Serum
Na+ 135 mEq/L
K+ 4.2 mEq/L
Cl- 100 mEq/L
Urea nitrogen 25 mg/dL
Glucose 578 mg/dL
Blood
Hemoglobin A1c 10.7%
In addition to recommending dietary modification, which of the following is the most appropriate next step in management?","A: Glyburide therapy, B: Insulin therapy, C: Metformin therapy, D: Pioglitazone therapy, E: Sitagliptin therapy",B,2_28
30,"A 43-year-old man comes to the office because of a 2-week history of fatigue and mild pain in his right armpit. He has not had fever or weight loss. Medical history is remarkable for type 2 diabetes mellitus and hypercholesterolemia. Medications are metformin, simvastatin, and aspirin. He is a social worker and frequently visits clients in homeless shelters. He lives alone with two dogs and a cat and has one male sexual partner. Vital signs are within normal limits. He appears well. Examination of the right upper extremity shows an erythematous axilla with a 4-cm, mobile, tender, nonfluctuant axillary lymph node and a tender, 1-cm epitrochlear lymph node. Abdominal examination shows no hepatosplenomegaly. Which of the following is the most likely diagnosis? ","A: Castleman disease, B: Cat-scratch disease, C: Hidradenitis suppurativa, D: T-cell lymphoma, E: Tuberculosis ",B,2_30
31,"A 2-year-old girl is brought to the office by her parents for a well-child examination. She was adopted 2 months ago. She has no history of serious illness and receives no medications. Vital signs are within normal limits. Examination shows no abnormalities. After the examination, the parents ask when they should tell their daughter about the adoption. Which of the following is the most appropriate advice regarding the best time to tell this patient? ","A: After she turns 18 years of age, B: As early as possible, even if she cannot process the whole experience, C: Once the seal on the adoption records has been lifted, D: Right before she is enrolled in kindergarten, E: When she learns that she is not biologically related to her parents ",B,2_31
33,"A 17-year-old girl comes to the office because of a 3-month history of daily moderate epigastric pain that is more severe after meals. Three weeks ago, she had watery diarrhea for 2 days, which resolved spontaneously. She has not had vomiting. She has no history of serious illness and takes no medications. Vital signs are within normal limits. Examination, including abdominal examination, shows no abnormalities. Which of the following is most likely to confirm the diagnosis? ","A: CT scan of the abdomen, B: Endoscopy, C: Examination of the stool for ova and parasites, D: Stool culture, E: Upper gastrointestinal series ",B,2_33
34,"A 23-year-old man comes to the emergency department because of a 1-hour history of intermittent coughing spasms that began suddenly while he was attempting to clean mold from his garage with a mixture of acetic acid and cleaning agents. The cough is not productive. He reports shortness of breath only during the coughing spasms. Medical history is unremarkable and he takes no medications. He does not smoke cigarettes, drink alcoholic beverages, or use other substances. He is 180 cm (5 ft 11 in) tall and
weighs 75 kg (165 lb); BMI is 23 kg/m2. Vital signs are within normal limits. Pulse oximetry on room air shows an oxygen saturation of 94%. The patient has periodic paroxysmal coughing during the examination. Oropharynx is clear. Auscultation of the lungs discloses bilateral wheezes throughout all lung fields. There is no use of accessory muscles of respiration. The remainder of the physical examination discloses no abnormalities. Chest x-ray shows mild hyperexpansion of the lungs bilaterally. Results of arterial blood gas analysis on room air are shown:
PO2 72 mm Hg
PCO2 38 mm Hg
pH 7.41
HCO3- 23 mEq/L
Which of the following is the most appropriate initial step in management?","A: Albuterol therapy, B: Bronchoscopy, C: CT scan of the chest, D: Intubation, E: Methylprednisolone therapy",A,2_34
35,"An 87-year-old man is admitted to the hospital because of a 4-day history of moderate abdominal cramps, nausea, and vomiting. He has not had a bowel movement or passed gas in the past 24 hours. He has colon cancer metastatic to the lungs, liver, and peritoneum. Eighteen months ago, he underwent a low anterior resection for T3N2 rectal cancer. Six months ago, exploratory laparotomy showed diffuse carcinomatosis and bowel obstruction, and an ileotransverse bypass was performed. The patient and his family were informed of the findings and advised that he would not be a candidate for a laparotomy in the future because there would be no surgical options to treat another obstruction. The patient has no other history of serious illness. Medications are 5-fluorouracil and bevacizumab. Temperature is 37.2¡C (99.0¡F), pulse is 100/min, respirations are 20/min, and blood pressure is 130/80 mm Hg. The abdomen is distended and mildly tender to palpation. There are no peritoneal signs. CT scan of the abdomen shows a mid-jejunal small-bowel obstruction, multiple intraperitoneal tumor deposits, and ascites. The physician recommends insertion of nasogastric and percutaneous endoscopic gastrostomy tubes. The patient and his family request that the patient undergo a laparotomy and intestinal bypass. Which of the following is the most appropriate next step in management? ","A: Abide by the wishes of the patient and his family, B: Alter the chemotherapy regimen, C: Explain the futility of the operation to the patient and his family, D: Offer to transfer the patient to another facility, E: Suggest external beam radiation therapy ",C,2_35
36,"A 62-year-old woman comes to the office because of a 3-month history of anxiety, insomnia, and frequent bowel movements. She has had a 9-kg (20-lb) weight loss during this period. Pulse is 90/min and irregularly irregular, respirations are 22/min, and blood pressure is 150/65 mm Hg. She is restless. The thyroid gland is diffusely enlarged. A bruit is heard over the thyroid. Examination shows palmar erythema; some of her fingernails are separated from the nail beds. There is widening of the palpebral fissures and thickening of the skin over the dorsum of the feet with a peau d'orange appearance. There is a fine tremor. Which of the following is the most likely diagnosis? ","A: Addison disease, B: Carcinoid syndrome, C: Cushing syndrome, D: Pheochromocytoma, E: Thyrotoxicosis ",E,2_36
38,"A 19-year-old man is brought to the emergency department (ED) by ambulance 15 minutes after he was stabbed in the chest during a fight. The stab wound is located medially to the left nipple. At the scene, pulse was 105/min, respirations were 18/min, and blood pressure was 120/80 mm Hg. Pulse oximetry on room air showed an oxygen saturation of 96%. Two large-bore intravenous catheters were placed en route to the ED, and lactated Ringer solution was initiated. On arrival in the trauma bay, the patient develops a pulse of 130/min and blood pressure of 80/40 mm Hg. There is jugular venous distention. Results of focused assessment with sonography for trauma (FAST) are most likely to lead to which of the following next steps for this patient? ","A: CT scan of the chest and abdomen with contrast, B: Exploratory laparotomy, C: Needle decompression and chest tube placement, D: Pericardiocentesis, E: Peritoneal lavage ",D,2_38
39,"A 47-year-old woman is scheduled to undergo right knee arthroscopy and partial medial meniscectomy. Medical history is otherwise unremarkable. At her preoperative examination 2 weeks ago, her surgeon discussed the risks and benefits of the procedure, and both parties signed the operative consent form. On the patient's arrival at the hospital, the paperwork is reviewed. She is taken into the operating room and sedated, and the anesthesiology team starts a spinal anesthetic. After the patient's right lower extremity is prepped for the procedure, a surgical pause is taken to review the patient's name and consent form and to confirm the site of surgery. The operating room team is unable to locate the consent form for review. No markings are present on the patient's extremities to indicate the site of the procedure. The surgeon says that he remembers reviewing the consent form with the patient and seeing her sign it. The patient's husband is in the waiting room. Which of the following is the most appropriate course of action? ","A: Ask the patient if she recalls signing the consent form and, if so, proceed with the operation, B: Ask the patient to sign a new consent form and proceed with the operation, C: Do not proceed, and remove the patient from the operating room, D: Obtain verbal consent from the patient's husband before proceeding with the operation, E: Proceed with the operative procedure as planned ",C,2_39
40,"A 30-year-old man comes to the physician because he and his wife have been unable to conceive during the past 2 years. Previous evaluation of his wife showed no abnormalities. He has not been exposed to pesticides, heavy metals, radiation, or testicular overheating. Physical examination shows no abnormalities. Serum studies show a testosterone concentration within the lower reference range. A diagnosis of oligospermia is made. Which of the following is the most appropriate initial action by the physician? ","A: Ask the patient about his alcohol intake, smoking, and stress level, B: Educate the patient about declining sperm counts with increased age, C: Prescribe a phosphodiesterase inhibitor, D: Provide a topical testosterone gel, E: Recommend in vitro fertilization ",A,2_40
41,"A 40-year-old man comes to the office during the summer because of a 3-day history of fever, diffuse muscle aches, fatigue, and sore throat. He has had no sick contacts. Medical history is unremarkable and he takes no medications. He received the influenza virus vaccine this year. Ten days ago, he returned from a trip to Malaysia, where he says he enjoyed the local food and nightlife. Temperature is 38.8C (101.8F), pulse is 90/min, respirations are 16/min, and blood pressure is 126/70 mm Hg. The remainder of the examination shows no abnormalities. Results of laboratory studies are shown:

Blood:
Hemoglobin: 10 g/dL
MCV:90 μm3
WBC: 
Neutrophils, segmented: 60%
Neutrophils, bands: 5%
Lymphocytes: 5%
Monocytes: 20%
Eosinophils: 4%
Basophils: 6%

Platelet count: 350,000/mm3
Red cell distribution width: 14%

Monospot test result is negative. Which of the following is the most appropriate next step in diagnosis?","A: Cytomegalovirus serologic testing, B: Epstein-Barr virus serologic testing, C: Hemagglutination inhibition assay, D: HIV RNA polymerase chain reaction testing, E: Serum hepatitis B surface antigen testing",D,2_41
42,"A 22-year-old man is brought to the emergency department by his girlfriend 30 minutes after she found him unconscious in his home. She last saw him yesterday and he appeared well. He has a history of cocaine and heroin use, and also use of prescription narcotic analgesics that he obtains from friends. On arrival, he is lethargic. Temperature is 35.0¡C (95.0¡F), pulse is 68/min, respirations are 8/min, and blood pressure is 96/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 96%. The left lower extremity is cyanotic and cold to the touch. The remainder of the examination shows no abnormalities. Results of serum studies are shown:

K+ 5.5 mEq/L
HCO3- 18mEq/L
Creatinine 1mg/dL
creatine kinase 50,000 U/L

This patient is at greatest risk for which of the following conditions?","A: Acute kidney injury, B: Acute liver failure, C: Cardiac arrhythmia, D: Hypocalcemia, E: Hypophosphatemia",A,2_42
43,"A 62-year-old woman is brought to the emergency department (ED) by her husband because of a 3-day history of increasing confusion. She has a 20-year history of bipolar disorder well controlled with medication for the past 5 years. Her husband forgot to bring her medication bottles and cannot remember which medication she takes. He reports that she has recently had mild headaches and has taken acetaminophen as needed. On questioning, he says that there has been no particular change in their routine, but during the past 2 days they have been outside playing tennis more than usual because of the onset of sunny, warm weather. While in the ED, the patient has a generalized tonic-clonic seizure lasting 2 minutes. She is 163 cm (5 ft 4 in) tall and weighs 72 kg (160 lb); BMI is 27 kg/m2. Pulse is 104/min, respirations are 18/min, and blood pressure is 140/90 mm Hg. Examination shows dry mucous membranes. ECG shows a second-degree atrioventricular block. Which of the following is most likely responsible for this patient's confusion? ","A: Acetaminophen, B: Bupropion, C: Lithium, D: Risperidone, E: Topiramate ",C,2_43
44,"A 32-year-old nulligravid woman comes to the office because she has been unable to conceive during the past 12 months. She and her husband have unprotected sexual intercourse three times weekly. Two years ago, she was involved in a motor vehicle collision; CT scan at that time showed absence of the left kidney. She has no other history of serious illness, and her only medication is a prenatal vitamin. She has no known allergies. Vital signs are within normal limits. Pelvic examination shows no abnormalities. Hysterosalpingography is shown. When this patient conceives, she is at greatest risk for which of the following pregnancy complications? ","A: Fetal macrosomia, B: Multiple gestation, C: Oligohydramnios, D: Preeclampsia, E: Preterm labor ",E,2_44
45,"Patient Information 
Age: 14 years
Gender: F, self-identified 
Ethnicity: unspecified 
Site of Care: office

History
Reason for Visit/Chief Concern: ""I feel light-headed.""
History of Present Illness:
¥ 1-week history of episodes of light-headedness
¥ almost lost consciousness during three episodes
¥ experienced tunnel vision and almost fell when getting out of bed this morning
¥ evaluated 10 days ago for follow-up of attention-deficit/hyperactivity disorder; clonidine therapy initiated at that time 
¥ sister is currently hospitalized for meningitis; patient has been receiving prophylactic rifampin
Past Medical History:
¥ moderate persistent asthma that is well controlled
¥ last asthma exacerbation was 1 week ago; 5-day course of prednisone was initiated at that time, which she completed 
¥ attention-deficit/hyperactivity disorder diagnosed at age 8 years; has been on numerous different medications
Medications:
¥ albuterol
¥ fluticasone
¥ methylphenidate ¥ clonidine
¥ rifampin
Vaccinations:
¥ up-to-date
Allergies:
¥ no known drug allergies
Family History:
¥ mother and father: alive with no chronic conditions
¥ sister: currently being treated for meningitis
Psychosocial History:
¥ lives with parents, 18-year-old sister, and 2-year-old sister
¥ has difficulty in school because of attention-deficit/hyperactivity disorder
¥ does not smoke cigarettes, drink alcoholic beverages, or use nonprescribed medications or other substances ¥ not sexually active

Physical Examination:
Temp: 37.0C (98.6F), Pulse: 90/mim, Resp: 20/min, BP: 115/70 mm Hg (lying down); 99/55mm Hg (after standing for 5 min), O2 Sat: 99% (on RA), Ht: 155cm (5 ft i in) (25th %ile), Wt 42kg (93 lb) (10th%ile), BMI 17.5kg/m^2 (25th %ile)

¥ Appearance: sitting in a chair; comfortable, not in acute distress
¥ Skin: no rashes
¥ Pulmonary: clear to auscultation
¥ Cardiac: regular rhythm; no murmurs; capillary refill time of <2 seconds 
¥ Abdominal: nondistended; normoactive bowel sounds; soft, nontender
¥ Neurologic: alert; cranial nerves intact

Question: An adverse effect of which of the following medications is the most likely cause of this patient's current condition?","A: Albuterol, B: Clonidine, C: Methylphenidate, D: Prednisone, E: Rifampin",B,2_45
46,"A 51-year-old woman comes to the office for a health maintenance examination. She feels well. She has no history of serious illness and takes no medications. She smoked one pack of cigarettes daily for 28 years but quit 6 years ago. Pulse is 80/min, respirations are 12/min, and blood pressure is 122/78 mm Hg. On examination, pedal pulses are absent bilaterally. A femoral bruit is heard in the left lower extremity. Which of the following is the most appropriate next step in management?","A: Pentoxifylline therapy, B: Peripheral artery catheterization, C: Serum lipid studies, D: Warfarin therapy, E: No further management is indicated",C,2_46
47,"A 47-year-old woman comes to the office for a follow-up examination. Three days ago, she was brought to the emergency department because of cellulitis of her right lower extremity, and trimethoprim-sulfamethoxazole therapy was begun. She has had no adverse reaction to the medication. She has kept her leg elevated, and her cellulitis has improved moderately. She also has hypertension, gout, and congenital heart disease. Her other medications are lisinopril, allopurinol, and warfarin. Five years ago, she underwent mechanical mitral valve replacement. Temperature today is 36.7C (98.0F), pulse is 72/min, and blood pressure is 128/83 mm Hg. Examination shows a 4 x 5-cm, erythematous, warm rash over the right lower extremity. There is no red streaking, vesicles, or purulence. There is no rash elsewhere. Pulses in the lower extremities are intact. Lungs are clear to auscultation. On cardiac examination, a mechanical click is heard during S1. A grade 2/6 holosystolic murmur is heard best at the apex. The remainder of the examination shows no abnormalities. Results of laboratory studies are shown:

Blood
Hematocrit 35%
WBC 13,000/mm3
Platelet count 357,000/mm3
PTT 38 sec
PT 57 sec (INR=5.2)

Which of the following actions is most likely to have prevented the near miss in this patient?","A: Review for potential drug-drug interaction, B: Dietary counseling, C: Echocardiography, D: Venous duplex ultrasonography of the right lower extremity, E: Discontinuation of allopurinol",A,2_47
48,"A 58-year-old woman comes to the office for a routine examination. She has type 2 diabetes mellitus. During the past 3 months, her fingerstick blood glucose concentrations have ranged from 80 mg/dL to 230 mg/dL; previously, they ranged from 80 mg/dL to 140 mg/dL. Medications are metformin and aspirin. During the past 3 months, she has exercised three times weekly; previously, she exercised once weekly. She follows a balanced diet. Despite exercise and diet, she has not had weight loss. She is 157 cm (5 ft 2 in) tall and weighs 72 kg (160 lb); BMI is 29 kg/m2. Examination shows a 1 x 2-cm, erythematous, soft lesion over the posterior plantar aspect of the left foot. Sensation to pinprick and touch is decreased over the ankles and feet. Hemoglobin A1c is 7%. Which of the following findings are most likely to be present in this patient? 
Glucose 
Insulin 
Insulin Receptor Responsiveness","A: Increased increased decreased, B: Increased increased normal, C: Increased normal decreased, D: Increased normal normal, E: Normal normal normal",A,2_48
51,"A 13-year-old girl is brought to the office for evaluation of short stature. Since birth, she has been below the 3rd percentile for height and at the 3rd percentile for weight. She has never had a menstrual period. There is no family history of short stature, but her maternal uncle did not begin puberty until the age of 16 years. Her current height is consistent with that of a 9 1/2-year-old girl. Pulse is 82/min and blood pressure is 110/70 mm Hg. Sexual maturity rating is stage 1 for breast development and stage 2 for pubic hair development. Which of the following is the most appropriate next step in diagnosis? ","A: Complete blood count and serum chemistry panel, B: Measurement of urine free cortisol concentration, C: X-rays of the left hand and wrist, D: X-rays of the long bones and spine, E: X-ray of the skull ",C,2_51
52,A 20-year-old woman comes to the office because of a 1-year history of a lump on her left ear that appeared 2 months after she had the ear pierced. Physical examination shows the findings in the photograph. Which of the following is the most appropriate initial treatment for this patient? ,"A: Corticosteroid injection, B: Cryotherapy, C: Laser ablation, D: Needle aspiration, E: Wide excision ",A,2_52
55,"A randomized placebo-controlled clinical trial is conducted to assess the effectiveness of a selective estrogen receptor modulator (SERM) for chemoprophylaxis of breast cancer. A subset of the results shows: 
Number of participants SERM 2400, Placebo 1200
Woman-years of follow-up SERM 7200, Placebo 3600
Invasive breast cancer SERM 7, Placebo 13
Breast cancer rate (per 1000 woman-years) SERM 1, Placebo 3.6
Estrogen receptor status (invasive cancers):
Positive SERM 2, Placebo 10
Negative SERM 4, Placebo 2
Unknown SERM 1, Placebo 1
Which of the following represents the absolute risk reduction for invasive breast cancer per 1000 woman-years in those treated with a SERM?","A: 0.28, B: 2.6, C: 3.6, D: 6, E: 7",B,2_55
59,"A 68-year-old man comes to the office because of a 3-month history of moderate low back pain that extends into both legs. He first noticed the pain while standing in the ticket line at a theater. At that time, the pain was accompanied by tingling in both legs. The symptoms recurred a few days later as he was standing in the grocery checkout line. The pain has not responded to ibuprofen or naproxen but improves with sitting or lying down. Prior to onset of the pain, the patient typically walked for 30 minutes four times weekly. He discontinued his walking regimen 2 months ago because it seemed to trigger his back pain. He has hypertension and hyperlipidemia. Medications are hydrochlorothiazide-triamterene, simvastatin, and aspirin. The patient has smoked one pack of cigarettes daily for 40 years. Pulse is 74/min and blood pressure is 140/90 mm Hg. Lungs are clear to auscultation; expiration phase is delayed. On cardiac examination, a grade 2/6 systolic crescendo-decrescendo murmur is heard at the upper right sternal border. There is trace ankle edema bilaterally; ankle brachial index is 1.0. Musculoskeletal and neurologic examinations show no abnormalities. Which of the following is the most likely diagnosis? ","A: Abdominal aortic aneurysm, B: Osteoporosis, C: Peripheral neuropathy, D: Spinal stenosis, E: Vascular claudication ",D,2_59
60,"A 50-year-old man comes to the office because of a 3-day history of mild headache and intermittent confusion. He has a 30-year history of schizophrenia and a 5-year history of emphysema. Medications are clozapine, sertraline, and inhaled beclomethasone and salmeterol. He also receives home oxygen therapy. He smoked two packs of cigarettes daily for 33 years but quit 5 years ago. Temperature is 36.8C (98.2F), respirations are 20/min, pulse is 90/min, and blood pressure is 115/70 mm Hg. Examination shows moist mucous membranes. Lungs are clear to auscultation. There is no peripheral edema. Neurologic examination shows no focal findings. Results of a complete blood count are within the reference ranges. Results of other laboratory studies are shown:

Serum
Na+ 116 mEq/L
K+  4 mEq/L
Cl-  90 mEq/L 
Urea nitrogen 10 mg/dL
Creatinine 1 mg/dL
Glucose 100 mg/dL

Which of the following is the most appropriate next step in management?","A: CT scan of the chest, B: Measurement of serum cortisol and TSH concentrations, C: Measurement of serum uric acid concentration, D: Measurement of urine and plasma osmolarity, E: MRI of the brain",D,2_60
61,"A 67-year-old man is evaluated in the intensive care unit. He has end-stage pancreatic cancer and was hospitalized 3 days ago for treatment of pneumonia. Respirations are 6/min. Pulse oximetry on 100% oxygen by face mask shows an oxygen saturation of 78%. Examination shows feeble respiratory efforts; he is using accessory muscles of respiration. On mental status examination, the patient is oriented to person but not to place or time. If the patient is not endotracheally intubated and mechanically ventilated, he will die within hours. His wife says the patient recently told her that he would never want mechanical ventilation, but they never completed paperwork regarding his wishes. His daughter insists that he be mechanically ventilated. Which of the following is the most appropriate action for the physician to take? ","A: Perform endotracheal intubation and begin mechanical ventilation, B: Perform endotracheal intubation and then consult the hospital ethics committee regarding mechanical ventilation, C: Perform endotracheal intubation only, D: Provide palliative therapy only, E: Seek a court order to assign a legal guardian ",D,2_61
