Term,Expanded_Terms_Frequency
acute systolic congestive heart failure exacerbation,1
history of coronary artery disease status post coronary artery bypass graft,1
acute pneumonia and respiratory failure.,1
.       pulmonary embolism,1
hypoxia: due to hospital acquired pneumonia,1
chronic myeloid leukemia status post transplant and graft versus host disease,1
cholodocholithiasis.,1
"shock, likely septic",1
paraplegia status post spinal artery infarct:,1
sacral decubitus ulcers:,1
abdominal distension/nausea,1
respiratory failure:  [**2-2**] to pneumonia,1
"sepsis: patient meets the criteria for sepsis. the source of infection is
   most likely pulmonary given his pneumonia seen on chest x-ray",1
# stage iii squamous cell throat cancer,1
hypercapnia,1
end stage renal disease,1
"#  leukocytosis/fever - +bacteremia at outside hospital (klebsiella pneumoniae, coagulase(-) staphylococcus) and
   now growing klebsiella pneumoniae from [**9-24**] f",1
"hypotension
 initially, likely from septic shock",1
esophageal varices,1
methicillin-resistant staphylococcus aureus sepsis,1
hypoxia: [**month (only) 51**] be a combination of methicillin-resistant staphylococcus aureus pneumonia and plural effusions,1
early small bowel obstruction,1
"severe systolic congestive heart failure,",1
# acute on chronic renal failure:,1
right upper lobe mass,1
benign prostatic hyperplasia:,1
pulmonary embolism:,1
"fever: unclear source but very high fever. ?pulmonary with left lower lobe
   infiltrates on chest x-ray",1
symptomatic bradycardia/rhythm,1
# hypothyroidism,1
# hyperlipidemia,1
hypoxemic respiratory failure -,1
#aphasia/altered mental status:,1
"chest pain, st-elevation myocardial infarction",1
"involuntary muscle movements, history of seizure",1
# possible infection,1
# shock,1
possible spinal process,1
# human immunodeficiency virus,1
widely metastatic disease,1
# hepatitis c virus cirrhosis,1
right femoral hematoma,1
arrhythmogenic right ventricular cardiomyopathy and history of sustained ventricular tachycardia status post implantable cardioverter defibrillator,1
borderline hypotension,1
# supraventricular tachycardia,1
# hepatocellular carcinoma,1
# hyponatremia,1
# inferior vena cava clot,1
# pain control,1
ventilator dependence,1
acute respiratory failure (hypoxic and hypercarbic),1
history of pulmonary embolus,1
acute on chronic congestive heart failure exacerbation:,1
systemic inflammatory response syndrome/hypotension,1
"abdominal pain / left groin pain
   differential diagnosis infectious [**1-7**] epidydimitis or prostatitis",1
concerning for sepsis,1
low grade fever,1
cirrhosis.,1
"fever/leukocytosis: potential sources: urinary (urinalysis with few white blood cells),
   pulmonary - possible aspiration pneumonia or health-care associated pneumonia",1
urinary retention.,1
sepsis: most likely source is hemodialysis catheter,1
"anemia, acute, secondary to blood loss (hemorrhage, bleeding)",1
"respiratory failure:
   patient not extubated after surgery out of concern for volume overload i",1
fluid overload on chest x-ray,1
"acute hypercarbic respiratory distress/cough:  etiology likely
   secondary to chronic obstructive pulmonary disease exacerbation,",1
clostridium difficile infection,1
atrial flutter (aflutter)/atrial fibrillation:,1
history of pulmonary embolism:,1
cholestasis,1
synthetic liver failure,1
"dyspnea:  likely multifactorial secondary to large right sided
   pulmonary embolism, large right sided pleural effusion, right lung
   collapse",1
metastatic renal cell carcinoma,1
electrocardiogram changes: possibly related to demand in setting of bleed.,1
left frontal hemorrhage,1
hypoxia/fevers.,1
hypotension/ hypothermia,1
history of burkitt-like lymphoma,1
febrile illness,1
"bladder rupture, peritonitis, sepsis, hypotension",1
history of high blood pressure,1
depressed ejection fraction,1
ventricular fibrillation,1
"thoracic vertebra 6 to lumbar vertebra 4 fusion, thoracic vertebra 12-lumbar vertebra 2 laminectomy",1
status post pulseless electrical activity arrest:,1
# gastrointestinal bleed,1
# crohn's,1
hemetemesis:,1
status post kidney transplant,1
"respiratory failure, acute (not acute respiratory distress syndrome/",1
right internal jugular and superior vena cava clot:,1
"cancer (malignant neoplasm), lung non-small cell lung cancer",1
superior vena cava syndrome (superior vena cava),1
black stools / upper gastrointestinal bleeding?,1
#. anemia,1
peripheral vascular disease/abdominal aortic aneurysm,1
diverticulosis,1
bradycardia:,1
bradycardia.,1
"non-ischemic cardiomyopathy with an ejection fraction of
   15%.",1
currently in atrial fibrillation with ventricular-paced rhythm.,1
"hypotension: hypovolemia (dehydration from diarrhea) versus worsening
   cardiac function versus sepsis.",1
volvulus,1
demand ischemia versus non-st-elevation myocardial infarction,1
"renal cell carcinoma with liver metastases, status post interleukin-2 treatment",1
sepsis: bandemia.  likely from pneumonia,1
"respiratory failure: sedation and ventilation.  underlying etiology
   likely pneumonia versus aspiration pneumonitis",1
congestive heart failure/aortic stenosis,1
osteomyelitis,1
. status post right adrenalectomy,1
renal cell carcinoma,1
lip swelling,1
# lower gastrointestinal bleeding,1
# hyponatremia:,1
"sepsis--blood cultures from [**1-15**] positive for gram-positive cocci in chains in [**12-20**]
   anaerobic culture. likely etiology is streptococcal cellulities",1
subdural hematoma/intraventricular bleed/headache,1
sepsis/pneumonia,1
bacturia,1
"sepsis - fevers, leukocytosis, tachycardia, and tachypnea. left lower lobe infiltrate",1
"acute mental status changes: etiology unclear, though concerning for [**name (ni) 8017**] toxicity given recent completion of chemotherapy regimen with known neurotoxicity",1
# right lower lobe infiltrate,1
follicular cell lymphoma,1
alcoholic liver disease,1
left knee swelling:,1
coronary artery disease/perforation/stent,1
"hypertension, hyperlipidemia",1
gastrointestinal bleed /blood loss anemia,1
depression:,1
# hypotention:,1
# anion gap acidosis:,1
# cervical cancer/non-small cell lung cancer,1
fevers/elevated white blood cell,1
hyperglycemia:,1
st segment elevations,1
possible chronic lung disease,1
#. gastrointestinal bleed,1
atrial fibrillation on coumadin,1
status post infected prosthetic knee replacement in right knee,1
clostridioides difficile sepsis,1
pain control/sedation,1
line sepsis,1
# peripheral vascular disease/coronary artery disease:,1
# end-stage renal disease on hemodialysis,1
hypotension/septic shock,1
"renal
   failure (anuric, creatinine of 12)",1
small bowel obstruction.,1
hypoxia.,1
osteoporosis.,1
hypoxia/pneumonia:,1
# history of congestive heart failure,1
# atrial fibrillation/tachycardia,1
"febrile neutropenia.  most likely source pneumonia given right lower lobe lobar
   infiltrate",1
"hypoxia: occurred in setting of aggressive fluid resuscitation for
   hypotension,",1
neck pain,1
respiratory status,1
status post cardiac arrest,1
diabetes mellitus type ii:,1
"hypotension is likely due to sepsis secondary to
   bacteremia after instrumentation during endoscopic retrograde cholangiopancreatography.",1
choledocholithiasis/cholangitis,1
extended spectrum beta-lactamase escherichia coli urinary tract infection:,1
left clavicular fracture,1
left humeral fracture,1
anion gap metabolic acidosis and metabolic alkalosis,1
tachyarrhythmia:,1
# respiratory distress/chronic obstructive pulmonary disease/pneumonia:,1
"non-st elevation myocardial infarction: likely secondary to demand from anemia, respiratory distress, and tachycardia",1
cerebrovascular accident:,1
lower gastrointestinal bleeding:,1
vulvar cancer,1
seizures: secondary to eastern equine encephalitis,1
non-st-elevation myocardial infarction/congestive heart failure,1
"septic shock - patient with new right lower lobe lung consolidation concerning for
   pneumonia and streptococcus pneumoniae in blood - > pneumococcal pneumonia with
   septic shock.",1
"sinus tachycardia from fever, sepsis,
   hypovolemia",1
bacterial peritonitis,1
end-stage renal disease on peritoneal dialysis,1
chronic myeloid leukemia,1
stage 5 chronic kidney disease:,1
"respiratory failure, acute",1
urinary tract infection (urinary tract infection),1
"hemorrhage/hematoma, procedure-related (for example, catheter, pacemaker, implantable cardioverter defibrillator bleed)",1
diffuse alveolar hemorrhage (diffuse alveolar hemorrhage),1
"history of dementia (including alzheimer's, multi infarct)",1
"hypoxic and hypercarbic respiratory failure:  chest x-ray, low partial pressure of oxygen/fraction of inspired oxygen ratio and
   lack of evidence of congestive heart failure make this picture highly suspicious for acute respiratory distress syndrome -
   highest on the differential diagnosis is influenza",1
high grade atrioventricular block,1
"hypotension:  given prominent hematocrit drop, clearly concern for active groin bleed with visible groin hematoma.",1
systolic congestive heart failure,1
diabetes type ii,1
# seizures,1
# type 2 diabetes mellitus,1
"pain control (acute pain, chronic pain)",1
"cancer (malignant neoplasm), other",1
"history of lymphoma (cancer, malignant neoplasm, lymphoid)",1
tachycardia/atrial fibrillation,1
lower extremity weakness,1
fracture prostate cancer,1
# transaminitis,1
schizophrenia:,1
#. hypoxia:,1
#. hypercarbia:,1
#. probable right lower lobe pneumonia,1
. bilateral pulmonary embolism/deep vein thrombosis:,1
#. nausea/vomiting:,1
. type 2 diabetes mellitus:,1
deep vein thrombosis:,1
# end-stage liver disease,1
# portal vein thrombosis:,1
likely [**1-4**] liver disease and coagulopathy,1
vaginal bleeding:,1
psychiatric disorder/post-traumatic stress disorder,1
acetaminophen overdose.,1
hematemesis.,1
number substance abuse.,1
anion gap metabolic acidosis.,1
respiratory failure/pneumonia:,1
# acute pancreatitis- likely [**2-13**] ethyl alcohol,1
aspiration pneumonitis/pneumonia in addition to pleural effusions.,1
ethyl alcohol abuse,1
alcohol abuse/withdrawal:,1
left shoulder pain,1
"sepsis
 hemodynamically stable, never required pressors",1
"gram-negative rod bacteremia, spec/[**last name (un) **]
   pending. concern for obstructing pyelonephritis from left-sided stone. also has
   possible left lower lobe pneumonia",1
#acute renal failure,1
#coronary artery disease,1
rapid breathing/lack of oxygen,1
blood in the pericardium,1
respiratory acidosis,1
acute pulmonary embolism/respiratory failure,1
septic from ischemic colon,1
number stage four colon cancer:,1
acute systolic heart failure with severe aortic stenosis,1
ethanol withdrawal/agitation,1
elevated liver function tests:,1
gastrointestinal bleeding/anemia,1
right groin hematoma,1
sepsis: likely source is propofol self injection from non-sterile vial.,1
bipolar disorder:,1
chronic obstructive pulmonary disease exacerbation: likely precipitated by acute pneumonia,1
diffuse large b cell lymphoma,1
) left lower extremity swelling and weakness,1
#) anemia,1
gram-negative rod sepsis,1
diastolic congestive heart failure: ejection fraction 60%,1
osteoporosis:,1
anemia/hematocrit drop,1
thigh hematoma,1
thoracic vertebra 3 burst fracture,1
cirrhosis: secondary to ethanol and hepatitis c virus.,1
right parietal/occipital intracerebral hemorrhage,1
"chest pain, shortness of breath",1
. gram-negative rod bacteremia,1
. cholangitis,1
#. leukocytosis,1
c2 fracture,1
worsening edema surrounding cerebellar infarct,1
heart rate control due to history of atrial fibrillation,1
# ethanol intoxication:,1
# elevated lipase,1
for congestive heart failure,1
#) pneumonia,1
to be monitored:,1
hypotension / hypothermia,1
"colitis, partial small bowel obstruction, mass, hernia, ileus or constipation",1
report of chest pain:,1
concern for altered mental status:,1
multiple myeloma:,1
liver transplant,1
chronic decompensated congestive heart failure,1
hypoxia: likely [**1-14**] pulmonary edema from worsening diastolic congestive heart failure,1
history of bacteremia,1
torsades de pointes,1
cardiomyopathy: chronic systolic heart failure,1
"sepsis: patient transferred with fevers, tachycardia and hypotension, likely sepsis from a cellulitis.",1
cellulitis:,1
# renal cell carcinoma,1
hypoxic respiratory failure: unclear precipitant.  aspiration pneumonitis likely,1
bladder cancer status post end colectomy and complicated by metastases:,1
shock:  likely septic,1
"respiratory failure:  cause of respiratory failure is likely
   multifactorial including evidence for multifocal pneumonia on computed tomography,",1
status post stenting to saphenous vein graft-obtuse marginal branch times 2 and left main coronary artery,1
airway management-patient with history of severe obstructive sleep apnea,1
# hematochezia,1
altered mental status status post pulseless electrical activity arrest:,1
respiratory failure.  intubated in setting of arrest,1
urinary tract infection.,1
diabetes mellitus type ii.,1
partial gastric outlet obstruction,1
right hip fracture status post fall,1
insulin-dependent diabetes mellitus,1
pain control:,1
fatigue/pancytopenia,1
"respiratory failure
 likely resulting from septic shock (below) with
   component of congestive heart failure",1
klebsiella urinary tract infection: complicated by septic shock t,1
chronic paroxysmal atrial fibrillation:,1
acute cholecystitis and cholangitis,1
stable anemia,1
abdominal pain/nausea/vomiting,1
coagulopathy: secondary to end-stage liver disease,1
sinus pauses/arrhythmia,1
acute renal failure.,1
right groin wound.,1
status post liver transplant.,1
hyperlipidemia.,1
peripheral vascular disease status post left superficial femoral artery stent/angioplasty,1
seizure disorder:,1
hepatitis c treatment,1
altered mental status: precipitated by hypoglycemia,1
septic shock/pneumonia,1
"chronic kidney disease, stage v",1
electrocardiogram changes: chest pain on presentation,1
dropping hematocrit: likely [**12-26**] continued oozing from femoral line insertion,1
# sepsis/fever:,1
ventricular tachycardia and symptomatic non-sustained ventricular tachycardia,1
# fevers -,1
# acute pancreatitis,1
# pulmonary embolism,1
# chronic alcohol abuse,1
unresponsiveness:,1
"recurrent chest pain consistent with known
   three-vessel disease",1
systolic left ventricular dysfunction,1
#. pancreatitis,1
aspirin allergy,1
"electrocardiogram changes mildly concerning for possible
   left ventricular hypertrophy",1
st-elevation myocardial infarction complicated by cardiogenic shock,1
atrial fibrillation status post atrioventricular ablation and is pacemaker dependent.,1
. atrial fibrillation:,1
. coronary artery disease:,1
# hypoxic respiratory failure:,1
# hypotension/sepsis:,1
"chronic myeloid leukemia status post allogeneic stem cell transplant,",1
carotid stenosis,1
"hypotension
    - likely baroreceptor stretch + low blood volume",1
acute right-sided heart failure,1
confusion/lethargy,1
subdural hematoma status post evacuation,1
history of congestive heart failure,1
bronchiectasis:,1
"right dominant system and early
   onset one vessel coronary artery disease in the left anterior descending",1
"diastolic dysfunction as well as systolic
   dysfunction,",1
insulin dependent diabetes mellitus,1
tobacco abuse,1
status post total hip replacement,1
osteopenia,1
1.  shortness of breath,1
5.  hearing loss,1
type 2 diabetes mellitus.,1
#  generalized weakness.,1
post-operative hypotension,1
altered mental status: secondary to ketamine infusion,1
chronic pelvic and rectal pain:,1
sickle cell crisis,1
influenza-like illness,1
mental status/seizures,1
"regional referral center, metastatic",1
oligo-/anuria,1
upper gastrointestinal bleed [,1
# ? free air in pelvis,1
# diabetes mellitus -,1
# obstructive sleep apnea,1
# hypertension -,1
# hepatitis c cirrhosis,1
# chronic leg pain,1
# acute blood loss anemia:,1
hypotension/tachycardia/hypothermia,1
systolic blood pressure,1
"right pleural effusion. cannot rule out right lower quadrant pneumonia, likely nosocomial (methicillin-resistant staphylococcus aureus/pseudomonal).",1
chest pain/recent non-st-elevation myocardial infarction,1
somnolence:,1
hydropneumothorax:,1
hypoxic respiratory failure:,1
status post craniotomy,1
"acute
   findings of right eye blindness",1
biliary obstruction secondary to malignancy:,1
b cell lymphoma,1
anemia/coffee ground emesis:,1
chronic renal insufficiency:,1
. ventricular fibrillation arrest,1
heart failure and ejection fraction,1
"hypotension: likely multifactorial, including intubation, propofol, intravascular depletion, possible acute coronary syndrome, heart failure",1
status post 4 vessel coronary artery bypass grafting,1
) hip fracture,1
septic [**numeric identifier 1613**]: [**1-22**] methicillin-sensitive staphylococcus aureus bacteremia.,1
liver failure,1
ammonium nitrate ingestion,1
pain management,1
abdominal pain:,1
atrial fibrillation with rapid ventricular rate/hypotension,1
parapneumonic effusion/hypoxia,1
"# dyspnea, tachycardia, and chest pain",1
respiratory alkalosis / metabolic alkalosis,1
"delirium, pain",1
"metastatic lung cancer with spinal metastases, cauda equina",1
hypotension - likely related to overdiuresis,1
"3 vessel disease and numerous coronary artery disease risk
   factors",1
ejection fraction 30% on echocardiogram from this admission.,1
hypoxia/respiratory failure,1
low urine output,1
# hypercapneic respiratory failure,1
pulmonary infiltrates- likely pneumonia versus lymphangetic spread of small cell lung cancer,1
hypotension occurred in the setting of intubation. possibly volume depleted,1
#chronic obstructive pulmonary disease:,1
small cell lung cancer:,1
amyotrophic lateral sclerosis,1
upward supratentorial herniation,1
intracranial pressure,1
evaluate residual tumor,1
hypotension/hypothermia/pulseless electrical activity arrest:,1
diarrhea:,1
dyspnea/cough,1
st-elevation myocardial infarction/right ventricular infarct,1
# systemic inflammatory response syndrome: low-grade fever overnight,1
# tachycardia: anxiety versus beta-blocker withdrawal versus pulmonary embolism versus hyperthyroidism versus hypoxia.,1
# transaminitis: improving. likely related to volume depletion and sepsis.,1
# pancreatic cancer,1
"occluded left anterior descending. mid right coronary artery
   occlusion",1
"ischemic
   cardiomyopathy.",1
history of dilated cardiomyopathy,1
history of post-operative atrial fibrillation,1
"septic shock :
   older right internal jugular central line placed on [**6-17**] have been likely source
   of infection",1
cerebrovascular accident / new hemorrhagic bleed:,1
fever/leukocytosis/tachycardia,1
"coronary artery disease, chest pain",1
acute acute myeloid leukemia status post induction,1
acute anemia,1
severe systolic and diastolic congestive heart failure and cardiomyopathy with left ventricular ejection fraction of 10.,1
left ventricle thrombus:,1
elevated liver enzymes:,1
elevated creatinine,1
acute renal failure/hydronephrosis,1
anxiety,1
admission chest x-ray consistent with pneumonia,1
"gallstone
   pancreatitis",1
"vancomycin-resistant enterococcus
   growing from drains, clostridioides difficile",1
acute mitral regurgitation:,1
# acute renal failure/ status post renal transplant,1
recent septic arthritis of her left ankle:,1
# non-st elevation myocardial infarction.,1
"diabetes mellitus, type one",1
dyspnea and cough,1
"leukocytosis and fever
   likely a respiratory infection",1
cardiac arrest,1
"dilated heart in echocardiogram in patient with preserved ejection fraction,
   bicuspid aortic stenosis and mixomatous degeneration of mitral valve",1
left to right shunt,1
shock liver or ischemic hepatitis,1
"polymorphic, monomorphic ventricular tachycardia
   as well as ventricular fibrillation",1
"patency of
   right coronary artery drug-eluting stent",1
severe peripheral vascular disease/dry gangrene,1
respiratory failure/chronic obstructive pulmonary disease:,1
"atrial flutter previously, now status post ablation and in sinus rhythm.",1
diabetes type ii:,1
cervical fractures,1
hospital-acquired pneumonia with moraxella,1
"inferior wall
   st-elevation myocardial infarction",1
takotsubos cardiomyopathy,1
metastatic renal cell carcinoma to brain,1
seizure prophylaxis,1
sepsis: likely urinary source given computed tomography findings and positive urinalysis,1
hypotension: in the setting of infection/sepsis.,1
# pancreatic mass,1
type ii diabetes mellitus:,1
hypercapneic respiratory failure: patient with severe chronic obstructive pulmonary disease,1
cardiac ischemia,1
diastolic congestive heart failure (ejection fraction >55%),1
respiratory distress/tachypnea/hypoxia,1
hyperglycemia/diabetes mellitus,1
diarrhea/nausea.,1
asthma.,1
cholecystitis:,1
hypoxic respiratory distress: likely secondary to [**doctor first name **] superinfected with bacterial pneumonia.,1
sepsis: likely from pneumonia.,1
fever/leukocytosis,1
abdominal fluid collections,1
coronary artery bypass grafting,1
severe congestive heart failure,1
gap acidosis,1
bile peritonitis,1
"respiratory failure (hypoxia, hypercapnia)",1
influenza exposure,1
fever.  pneumonia as above,1
"also consider other infectious sources
   (urine, clostridioides difficile/stool, influenza, other abdominal)",1
number cellulitis,1
central nervous system vancomycin-resistant enterococcus,1
acute lymphoblastic leukemia,1
"intermittent, post-operative hypotension",1
infiltrate on chest x-ray,1
cryptogenic cirrhosis complicated by variceal bleed:,1
atrial and ventricular ectopy,1
left hilar mass/brain mass,1
weakness over right upper extremity/lower extremity,1
schizoaffective disorder,1
recent right thalamic hemorrhagic cerebrovascular accident,1
# hypertensive emergency,1
pleuritic chest pain,1
history chronic renal insufficiency,1
"hematocrit drop:  hematocrit trending down from 30 to 24 today.  most likely source
   is known retroperitoneal hematoma",1
resistant pulmonary pseudomonas ventilator-associated pneumonia,1
inferior st-elevation myocardial infarction,1
acetaminophen toxicity:,1
number respiratory distress,1
suicide attempt,1
possible hip dislocation,1
left lower extremity edema,1
large gluteal hematoma,1
"acute on chronic systolic heart failure [**1-25**]
   ischemic cardiomyopathy",1
history of coronary artery disease status post coronary artery bypass grafting times two,1
history of ventricular tachycardia with implantable cardioverter-defibrillator firing,1
hematocrit drop,1
difficulty breathing,1
"history of cerebrovascular accident, left sided weakness",1
"dementia, parkinsons",1
#hypoxic/hypercarbic respiratory failure,1
#chronic obstructive pulmonary disease,1
#obstructive sleep apnea,1
epistaxsis,1
#chest pain-,1
status post non-st elevation myocardial infarction,1
chest pain:,1
three vessel disease,1
atrial flutter:,1
"aortic
   regurgitation",1
chronic obstructive pulmonary disease:,1
volatile blood pressure,1
chronic kidney disease on hemodialysis:,1
subarachnoid hemorrhages:,1
uncontrolled type 2 diabetes mellitus,1
vertebral artery occlusion & cerebellar infarct,1
vertigo,1
embolic stroke,1
antiphospholipid syndrome,1
history clostridioides difficile colitis,1
hypotension: sepsis versus cardiogenic.,1
femur fracture:,1
hypothermia:,1
.  non-gap metabolic acidosis,1
#.  chronic kidney disease:,1
#.  peripheral artery disease,1
#.  coagulopathy,1
.  anemia,1
anastomotic leak,1
rectosigmoid cancer,1
chronic pain/sedation/withdrawal,1
asthma/chronic obstructive pulmonary disease,1
"sepsis - on initial admission, febrile, tachycardic, and had
   leukocytosis.  potential likely sources include left lower lobe pneumonia with
   infiltrate on chest x-ray",1
hypotension: likely component of dehydration and infection.,1
parkinson's disease-,1
atrial fibrillation with rapid ventricular rate.,1
coronary artery disease / sinus tachycardia,1
trigeminal neuralgia,1
venous thrombosis,1
"rash on back, abdomen, thighs",1
tachycardia/ atrial fibrillation,1
mild liver function test elevation,1
# gastrointestinal bleeding/bright red blood per rectum,1
# fungemia,1
# sepsis/streptococcus pneumoniae bacteremia,1
# respiratory failure/pleural effusion,1
transaminitis/hyperbilirubinemia,1
abdominal rash,1
# cirrhosis,1
rib fractures/trauma,1
cirrhosis / abdominal pain,1
.  hypotension,1
ethanol intoxication:,1
left lower lobe infiltrate,1
# human immunodeficiency virus/acquired immunodeficiency syndrome,1
dysphagia,1
# hyperkalemia:,1
# anion gap metabolic acidosis: likely secondary to worsening renal failure,1
weakness/numbness: most likely secondary to hyperkalemia.,1
"# anemia: chronic, normocytic to macrocytic.",1
systemic lupus erythematosus:,1
# antiphospholipid syndrome,1
# end-stage renal disease:,1
hypotension - suspect secondary to volume loss,1
"coronary artery
   disease",1
diabetes-,1
hyperbilirubinemia,1
diabetic foot infection,1
sepsis/ hypotension/ fevers: likely line sepsis i,1
# leukopenia/thrombocytopenia,1
overdose,1
"questionable aspiration
   versus other underlying pulmonary process",1
bipolar/schizoaffective disorders,1
aspirin desensitization,1
coronary artery disease/chest pain:,1
sinus tachycardia overnight,1
number abdomen distension,1
sepsis: secondary to pyelonephritis,1
urethral mass,1
right subdural hematoma,1
history of ethanol withdrawal seizures,1
st elevation myocardial infarction [**3-18**] to 100% mid left anterior descending occlusion and three vessel disease,1
# hypertension:,1
ethanol abuse/withdrawal,1
tachycardia/electrocardiogram changes,1
coronary artery disease status post bypass:,1
"renal failure, end stage (end stage renal disease, end stage renal disease)
   end stage renal disease:",1
sepsis/empyema,1
cluster a (schizoid) personality disorder,1
atrial fibrillation/flutter on coumadin,1
number leukocytosis,1
number diabete,1
number hyperlipidemia,1
poor mitral stenosis,1
paroxysmal atrial fibrillation/flutter,1
end-stage renal disease on hemodialysis monday wednesday friday,1
lymphocytic interstitial pneumonitis,1
acute kidney injury,1
transient hypotension,1
pyelonephritis,1
"hypertensive, atrial fibrillation",1
left anterior descending with 3 sequential stents widely patient,1
"end-stage renal disease with hemodialysis on monday, wednesday, friday",1
congenital deafness,1
congestive heart failure:,1
"hypoxic respiratory failure: unclear what the precipitant was, but acute decompensation appears to be a result of aspiration",1
oliguric acute renal failure,1
delirium:,1
clostridioides difficile colitis:,1
"leukocytosis.  etiologies include infection, versus, stress response, versus
   malignancy.",1
adenocarcinoma of unknown primary,1
hypothyroid.,1
#respiratory distress,1
#atrial fibrillation,1
pulmonary embolism status post inferior vena cava filter,1
"hypotension
   in the setting of bradycardia, intubation induction as well as atenolol
   delayed metabolism with acute renal failure, and likely urosepsis",1
bradycardia:  likely secondary to hyperkalemia,1
"sepsis:  urinalysis with frank pus, and urinalysis consistent with urinary tract infection",1
urosepsis,1
"tachycardia, atrial fibrillation (atrial fibrillation",1
bright red blood per rectum:,1
# massive hemoptysis / pulmonary embolisms,1
#dyspnea/hypoxia,1
#leukocytosis,1
spinal surgery,1
anemia - likely secondary to menstrual bleeding,1
status post right colectomy for colon cancer,1
cerebrovascular disease:,1
medication non-compliance,1
small cell lung carcinoma,1
pneumothorax:,1
pericardial effusion:,1
. altered mental status:,1
"gastrointestinal bleed, upper (melena, gastrointestinal bleed, gastrointestinal bleed):",1
sepsis: patient has re-developed fevers on [**9-2**] on a regimen of vancomycin/ceftriaxone. possible sources include: 1. intra-abdominal source,1
pancreatitis/cholecystitis,1
ischemic left limb following femoral artery dissection,1
cardiogenic shock secondary to cardiac arrest and st elevation myocardial infarction.,1
pulseless electrical activity and ventricular tachycardia status post temporary wire. was in atrial fibrillation,1
cardiac arrest:,1
"pneumonia, sepsis",1
2.  respiratory distress:,1
"chronic kidney disease. end-stage renal disease, on hemodialysis",1
number asthma,1
shortness of breath: patient is hypervolemic,1
cardiac etiology of chest pain/acute coronary syndrome.,1
smoking cessation,1
intermittent hypoxia,1
peripheral vascular disease / left lower extremity prosthetic graft,1
left lower extremity pain,1
"chronic obstructive pulmonary disease/reactive
   airways disease in context of potential upper respiratory infection,",1
# history of pulmonary embolism:,1
# panniliculitis:,1
status post seizure:,1
"inability to drain pleural effusions effectively and/or accumulation of
   existing effusions",1
chronic uremic pleurisy/pleural effusions,1
epistaxis,1
history of chronic obstructive pulmonary disease,1
# food impaction,1
aspiration pneumonitis.,1
chronic kidney disease stage v on hemodialysis,1
heel ulcer/peripheral vascular disease,1
# cholangitis,1
status post mitral valve replacement,1
status post left hernia repair,1
right pleural effusion,1
diabetes mellitus/hypoglycemia,1
melena,1
nonalcoholic steatohepatitis,1
hypoxemic respiratory distress-,1
atrial fibrillation/flutter in rapid ventricular rate,1
chronic cough,1
left facial droop,1
hyperglycemia/diabetes,1
pulseless electrical activity arrest likely [**3-10**] to hypovolemia from sphincterotomy bleed,1
# electrocardiogram changes: patient with wide complex ventricular rhythm during arrest.,1
atrial fibrillation-,1
#. case management:,1
acute metabolic acidosis,1
non-st segment elevation myocardial infarction,1
history of congestive heart failure exacerbation,1
"atrial fibrillation,",1
elevated liver function tests,1
emesis,1
hypotension--likely septic,1
acute renal failure--likely contrast-induced acute tubular necrosis,1
elevated bilirubin,1
autoimmune hepatitis status post liver transplant with recurrence,1
status post liver transplant with chronic rejection,1
"respiratory failure, acute (not acute respiratory distress syndrome",1
bacteremia:,1
"shock, other",1
"thrombocytopenia, acute",1
"fevers / leukocytosis:
   pulmonary source infection",1
"hypotension:
   likely sepsis physiology",1
laryngeal mass status post tracheostomy,1
right middle lobe consolidation,1
obstructing ureteral stone,1
"cavitation seen on computed tomography concerning for possible tuberculosis versus an
   anaerobic abscess",1
oliguric acute on chronic chronic kidney disease,1
acute diastolic congestive heart failure exacerbation,1
coronary artery disease/unstable angina,1
sinus rhythm.,1
fevers/leukocytosis,1
#) congestive heart failure,1
#) atrial fibrillation with rapid ventricular response,1
#) hypoxic and hypercarbic respiratory failure:,1
delerium,1
) gout:,1
) hypotension,1
) left and right wrist fractures,1
) dens fracture:,1
) chronic kidney disease,1
) anemia,1
#) chronic obstructive pulmonary disease:,1
ulcerative colitis flare,1
renal cell carcinoma and prostate cancer,1
caustic injury to the oropharynx / esophagus,1
fracture human immunodeficiency virus -,1
chest pain/wall motion abnormality,1
mild symmetric left ventricular hypertrophy with preserved global and regional biventricular systolic function,1
number. hypoxia,1
hand cellulitis,1
bradycardia/prolonged corrected qt interval,1
pyometrium/ endometritis,1
uterine lack of muscle tone,1
right knee pain with suspicion for gout.,1
hypoxia due to fluid overload,1
alcohol withdrawal/hypertension,1
"left main coronary artery 50% ostial
   lesions, left anterior descending with mid subtotal occlusion.",1
acute systolic heart failure.  new york heart association class ii-iii.,1
tachycardiac in sinus rhythm,1
sepsis: multifocal pneumonia and urinary tract infection likely sources.,1
"hypoxia: due to pneumonia,",1
parkinsons,1
rapid heart rate,1
"hypokalemia/hypomagnesemia: as above, likely related to thiazide use",1
history of alcohol abuse,1
renal insufficiency,1
"shortness of breath/dyspnea. improved and stable. likely secondary to fluid overload,",1
"upper gastrointestinal bleed. esophagogastroduodenoscopy revealed antral ulcers, most consistent with helicobacter pylori infection.",1
hypernatremia.,1
status post left total hip replacement,1
4. confusion,1
. hypernatremia,1
upper airway obstruction,1
cellulitis/soft tissue infection,1
number diabetes mellitus:,1
decubitus ulcer,1
possible pneumonia:,1
dementia/depression,1
